author,updated_at,like_count,comments,public
@ActionBronsonMusic,2023-10-23T17:53:02Z,596,PARIS. WITH LOVE.,True
@gghstlr,2024-07-21T17:41:45Z,0,I want to put you and Clovis’ whole wardrobe in a goddamn chokehold !!!❤,True
@treyvillanueva31,2024-07-10T06:40:56Z,0,Just applied and registered for my first class of HANG 101 - Theory Hanging Out (Chilling) - with professeur Acteauxn Bronseauxn,True
@EdwinLap,2024-06-08T21:23:13Z,0,I wish I could be there and will make it one of these days. See you at SOCOEXPO and the Nationals,True
@sensology,2024-06-02T16:57:11Z,0,I like this a lot but nothing ever will top their legendary Paris and Auvergne binge from 2017,True
@gregoiredoyon4569,2024-05-10T16:07:03Z,0,I need the name of the Bousquet wine at 8:15 min,True
@charlesruffing5606,2024-02-13T04:29:12Z,0,My Cats are junkies for this video...They try to jump into the screen,True
@tannerdempster-walsh4962,2024-02-06T20:30:55Z,1,Bro getting drunk all day and eating magical food is a life long dream,True
@donlee1308,2024-02-01T23:40:27Z,0,"hands down, the fuckin best food and wine series. only 5 yearsa from now will it become clear.",True
@mehdiflood,2024-02-01T00:47:00Z,0,Clovis!,True
@hameedkhumalo4769,2024-01-31T07:15:50Z,0,"These videos just make me smile, THANK YOU.",True
@Bennn2013,2024-01-24T02:18:56Z,0,"Didn't catch it earlier but man at start of video said Punkey Brewster. Now that is some 80s shit, when I grew up. Felt good hearing that as I missed it in earlier viewings of this video",True
@jenkornblum3795,2024-01-17T12:02:18Z,0,so this is great! one thing I am missing is why keep using 'bro' & 'brother'  just does not fit!!,True
@Sssteelo,2024-01-07T03:24:57Z,0,I watched this whole series backwards lol,True
@user-tk6ox1bq9r,2024-01-06T13:44:12Z,0,Action drinking great wine  in France while im dehydrated drinking a beat box after after beating her box,True
@YoungGeezy05,2024-01-05T08:04:32Z,0,"A1 shit right there. This show is in the top 3 food shows of all time, it definitely pays homage to Anthony Bourdain in a lot of ways, keep it going AB.",True
@DSToNe19and83,2024-01-02T09:19:09Z,0,"4:10 
“Michael Jordan really made his mark” 
Lol",True
@amorousnature,2023-12-27T04:14:22Z,0,My top celebrity crush,True
@Cracky541,2023-12-23T01:05:48Z,0,"Thanks for reuploading it, not available on Munchies anymore :(",True
@user-os5no1qr7r,2023-12-21T20:02:33Z,0,Does Anyone know the song playing at Early June 7:22?,True
@JeffreyDiaz218,2023-12-12T03:53:32Z,0,"I’ve been waiting for this to come back for quite some time. . . Not like literally on top of this mf to come back, but the fact that it did come back has me very happy. I remember the first couple of episodes in France with Action and Clovis I bought my first house drinking Chatuneuf du pape and eating olives and now to see this as I own my 4th house and doing similar things and enjoying these mf’s company is special. (I might’ve gotten a lil specific but me and my wife are as drunk as these mf’s) lmao love Paris",True
@connorshea2823,2023-12-09T01:30:18Z,0,"when he said all i care about is hanging out, i felt that",True
@maximemajerus2866,2023-11-24T16:52:42Z,0,il a pris cher Dujardin,True
@romainromain9420,2023-11-19T01:55:56Z,0,OHHHH BROOOOO ! You shoulded tell us that you came. It has been a dream to drink and eat with you,True
@frzd,2023-11-16T23:11:16Z,0,"Action after sipping the wine ""it's gentle like a kiss, no tongue""",True
@lepraise1695,2023-11-16T21:21:28Z,0,Thank you for bringing out another season. I've seen the other episodes like 30 times because it makes me happy lmao,True
@jeorgejordan,2023-11-15T22:14:57Z,0,Clovis da gawd,True
@seansmith3414,2023-11-15T19:07:31Z,0,"Dude I love you and your content. Please do more of this. Reminds me a lot of Anthony Bourdain, but your own style and presence. Respect",True
@vernonsullivan92,2023-11-15T09:06:18Z,0,"Part I ""Le Retour"", no S, shall ask for correction!",True
@Tehons,2023-11-14T02:47:35Z,0,How czn you eat that much 😢,True
@idavidp2895,2023-11-13T03:57:02Z,0,Love this😂,True
@patpot2118,2023-11-11T21:09:04Z,0,You are always welcome to Paris Action bronson !,True
@Skowist,2023-11-10T18:31:14Z,0,"What at pleasure to see you again in france, do a check by Lyon one day, city of food in France, try somes ""bouchons lyonnais"" you will not be disappointed",True
